index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S23_D8 hbo]:Condition[V],1.2693578658584742e-08,1.6885104666568652e-08,0.7517619173375428,0.45219424759570515,-2.0400618363079024e-08,4.578777568024851e-08,S23_D8 hbo,V,False,0.6474999343004649,False
ch_name[S24_D10 hbo]:Condition[V],-1.9946372619902133e-08,1.688510466656865e-08,-1.1812999098190125,0.23748360312792882,-5.304056964156589e-08,1.3147824401761627e-08,S24_D10 hbo,V,False,0.43051214754225525,False
ch_name[S24_D11 hbo]:Condition[V],1.8373605023211293e-08,1.6885104666568652e-08,1.0881546419780133,0.27652684472155487,-1.4720591998452473e-08,5.1467802044875056e-08,S24_D11 hbo,V,False,0.47775529980062065,False
ch_name[S24_D34 hbo]:Condition[V],5.5900364607801906e-08,1.0000709569256519e-07,0.5589639837121847,0.5761863005856295,-1.4010994114807668e-07,2.519106703636805e-07,S24_D34 hbo,V,False,0.7409190890685479,False
ch_name[S24_D7 hbo]:Condition[V],6.642455834034309e-09,1.6885104666568646e-08,0.39339145153100047,0.6940303824680012,-2.6451741187629442e-08,3.973665285569806e-08,S24_D7 hbo,V,False,0.8133859259497593,False
ch_name[S24_D9 hbo]:Condition[V],7.478742768886066e-09,1.6885104666568652e-08,0.44291953864481887,0.6578239343349166,-2.56154542527777e-08,4.057293979054983e-08,S24_D9 hbo,V,False,0.7949935975322056,False
ch_name[S25_D11 hbo]:Condition[V],6.487146583972965e-08,1.688510466656865e-08,3.841934481352118,0.00012206842425210805,3.177726881806589e-08,9.796566286139341e-08,S25_D11 hbo,V,True,0.0024983368936249053,True
ch_name[S25_D12 hbo]:Condition[V],7.772200077341534e-08,1.688510466656865e-08,4.602991945160967,4.164643418796457e-06,4.462780375175158e-08,1.108161977950791e-07,S25_D12 hbo,V,True,0.00025543146301951604,True
ch_name[S25_D13 hbo]:Condition[V],9.706091122372719e-08,1.688510466656865e-08,5.748315639162199,9.013685560635311e-09,6.396671420206343e-08,1.3015510824539094e-07,S25_D13 hbo,V,True,1.6585181431568973e-06,True
ch_name[S25_D14 hbo]:Condition[V],6.516890037727194e-08,1.6885104666568652e-08,3.859549683828842,0.00011359616071490899,3.207470335560818e-08,9.82630973989357e-08,S25_D14 hbo,V,True,0.0024983368936249053,True
